Municipio;Idade;Obito;idade_avancada;casos_confirmados;percent_obitos
SANTA GERTRUDES;18137.0;56;149;309;0.18122977346278318
SANTA ISABEL;35206.0;161;319;594;0.27104377104377103
SANTA LUCIA;5172.0;16;36;95;0.16842105263157894
SANTA MARIA DA SERRA;6456.0;6;38;123;0.04878048780487805
SANTA MERCEDES;2091.0;4;15;38;0.10526315789473684
SANTA RITA D'OESTE;2210.0;4;19;40;0.1
SANTA RITA DO PASSA QUATRO;11141.0;28;88;197;0.14213197969543148
SANTA ROSA DE VITERBO;29195.0;33;224;523;0.06309751434034416
SANTA SALETE;1575.0;3;13;28;0.10714285714285714
SANTANA DA PONTE PENSA;424.0;3;2;8;0.375
SANTANA DE PARNAIBA;112473.0;206;787;2051;0.10043881033642126
SANTO ANASTACIO;7478.0;29;58;131;0.22137404580152673
SANTO ANDRE;511237.0;2120;4332;8654;0.24497342269470765
SANTO ANTONIO DA ALEGRIA;3417.0;17;27;59;0.288135593220339
SANTO ANTONIO DE POSSE;14024.0;30;94;261;0.11494252873563218
SANTO ANTONIO DO ARACANGUA;4880.0;18;35;86;0.20930232558139536
SANTO ANTONIO DO JARDIM;4488.0;16;44;75;0.21333333333333335
SANTO ANTONIO DO PINHAL;2214.0;6;20;37;0.16216216216216217
SANTO EXPEDITO;1049.0;3;10;16;0.1875
SANTOPOLIS DO AGUAPEI;3646.0;14;35;64;0.21875
SANTOS;362324.0;817;2943;6226;0.13122389977513652
SAO BENTO DO SAPUCAI;2680.0;11;24;46;0.2391304347826087
SAO BERNARDO DO CAMPO;656266.0;2236;5617;11169;0.2001969737666756
